"doi","experiment_design","mean_es_per_paper","median_es_per_paper","sd_es_per_paper","mad_es_per_paper","num_es_per_paper","median_N_num_per_paper","no_meta_max_N_per_paper","no_meta_min_N_per_paper","no_meta_median_N_per_paper","num_topic","topic","topic_category","topic_for_analysis"
"10.1145/3411764.3445387","within",0.797938516889007,0.797938516889007,0.663580266239554,0.695668694532864,2,352.5,1468,421,944.5,"topic_2","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445387","within",0.797938516889007,0.797938516889007,0.663580266239554,0.695668694532864,2,352.5,1468,421,944.5,"topic_4","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445387","within",0.797938516889007,0.797938516889007,0.663580266239554,0.695668694532864,2,352.5,1468,421,944.5,"topic_5","social and professional topics","social and professional topics","social and professional topics"
"10.1145/3411764.3445394","within",0.784600699786236,0.784600699786236,0.238020128121868,0.249529951729019,2,352.5,1e+05,1e+05,1e+05,"topic_1","empirical studies in collaborative and social computing","human centered computing","collaborative and social computing"
"10.1145/3411764.3445394","within",0.784600699786236,0.784600699786236,0.238020128121868,0.249529951729019,2,352.5,1e+05,1e+05,1e+05,"topic_2","collaborative and social computing","human centered computing","collaborative and social computing"
"10.1145/3411764.3445394","within",0.784600699786236,0.784600699786236,0.238020128121868,0.249529951729019,2,352.5,1e+05,1e+05,1e+05,"topic_3","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445394","within",0.784600699786236,0.784600699786236,0.238020128121868,0.249529951729019,2,352.5,1e+05,1e+05,1e+05,"topic_6","applied computing","applied computing","applied computing"
"10.1145/3411764.3445397","between",0.334602868004561,0.316227766016838,0.137192444695727,0.0494966803816939,9,352.5,1488,1488,1488,"topic_1","empirical studies in collaborative and social computing","human centered computing","collaborative and social computing"
"10.1145/3411764.3445397","between",0.334602868004561,0.316227766016838,0.137192444695727,0.0494966803816939,9,352.5,1488,1488,1488,"topic_2","collaborative and social computing","human centered computing","collaborative and social computing"
"10.1145/3411764.3445397","between",0.334602868004561,0.316227766016838,0.137192444695727,0.0494966803816939,9,352.5,1488,1488,1488,"topic_3","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445398","between",0.605412966636157,0.605412966636157,0.094605917666993,0.0991807300290053,2,36,36,36,36,"topic_1","mixed / augmented reality","human centered computing","mixed / augmented reality"
"10.1145/3411764.3445398","between",0.605412966636157,0.605412966636157,0.094605917666993,0.0991807300290053,2,36,36,36,36,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445401","between",0.184444444444444,0.18,0.107390771380868,0.1349166,9,34,34,34,34,"topic_1","virtual reality","human centered computing","virtual reality"
"10.1145/3411764.3445401","between",0.184444444444444,0.18,0.107390771380868,0.1349166,9,34,34,34,34,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445401","between",0.184444444444444,0.18,0.107390771380868,0.1349166,9,34,34,34,34,"topic_3","user studies","human centered computing","empirical studies in hci"
"10.1145/3411764.3445404","within",0.291994381594491,0.2,0.196020665738496,0.14826,5,12,12,12,12,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445415","between",0.14142135623731,0.14142135623731,NA,0,1,293,293,293,293,"topic_1","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445415","between",0.14142135623731,0.14142135623731,NA,0,1,293,293,293,293,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445415","within",0.173205080756888,0.173205080756888,NA,0,1,293,293,293,293,"topic_1","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445415","within",0.173205080756888,0.173205080756888,NA,0,1,293,293,293,293,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445426","within",0.888807529495448,0.891066776397819,0.00514484112950116,0.00498215068906904,5,23,23,23,23,"topic_1","virtual reality","human centered computing","virtual reality"
"10.1145/3411764.3445426","within",0.888807529495448,0.891066776397819,0.00514484112950116,0.00498215068906904,5,23,23,23,23,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445430","within",0.368043052837573,0.39,0.210137844988789,0.22239,18,12,71,12,12,"topic_2","human-centered computing","human-centered computing","human-centered computing"
