"","doi","topics","test_id","test_name","N","test_p_value","factor","effectsize_id","effectsize_measure","effectsize_value","CI_upper","CI_lower","CI_type","year","testnames_unified","is_rm","of_interest","effectsize_measure_unified","specifiers","to_manipulate","N_found","test_p_value_found","effectsize_measure_found","effectsize_value_found","CI_upper_found","CI_lower_found","CI_type_found","is_valid","converted_r_es","manual_is_found_es","N_found_manual","N_num"
"54","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",8,"regression analysis","211","UNKNOWN","",1,"R2",0.23,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.479583152331272,"TRUE","TRUE",211
"55","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",9,"regression analysis","211","UNKNOWN","",1,"R2",0.04,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.2,"TRUE","TRUE",211
"56","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",10,"regression analysis","211","UNKNOWN","",1,"R2",0.05,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.223606797749979,"TRUE","TRUE",211
"57","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",11,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.12,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.346410161513775,"TRUE","TRUE",211
"58","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",11,"regression analysis","211","UNKNOWN","",2,"Total R2",0.33,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.574456264653803,"TRUE","TRUE",211
"59","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",12,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.08,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.282842712474619,"TRUE","TRUE",211
"60","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",12,"regression analysis","211","UNKNOWN","",2,"Total R2",0.3,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.547722557505166,"TRUE","TRUE",211
"61","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",13,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.41,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.640312423743285,"TRUE","TRUE",211
"62","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",13,"regression analysis","211","UNKNOWN","",2,"Total R2",0.46,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.678232998312527,"TRUE","TRUE",211
"63","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",14,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.35,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.591607978309962,"TRUE","TRUE",211
"64","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",14,"regression analysis","211","UNKNOWN","",2,"Total R2",0.4,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.632455532033676,"TRUE","TRUE",211
"65","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",15,"regression analysis","211","UNKNOWN","",1,"R2",0.23,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.479583152331272,"TRUE","TRUE",211
"66","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",16,"regression analysis","211","UNKNOWN","",1,"R2",0.13,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.360555127546399,"TRUE","TRUE",211
"67","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",17,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.1,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.316227766016838,"TRUE","TRUE",211
"68","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",17,"regression analysis","211","UNKNOWN","",2,"Total R2",0.33,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.574456264653803,"TRUE","TRUE",211
"69","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",18,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.2,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.447213595499958,"TRUE","TRUE",211
"70","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",18,"regression analysis","211","UNKNOWN","",2,"Total R2",0.33,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.574456264653803,"TRUE","TRUE",211
